"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","CASINJRR","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","STATION","COUNTY","STATE","REGION","DUMMY2","CITY","HIGHWAY","VEHSPD","TYPVEH","VEHDIR","POSITION","RREQUIP","RRCAR","TYPACC","HAZARD","TEMP","VISIBLTY","WEATHER","TYPEQ","TYPTRK","TRKNAME","TRKCLAS","NBRLOCOS","NBRCARS","TRNSPD","TYPSPD","TRNDIR","SIGNAL","LOCWARN","WARNSIG","LIGHTS","STANDVEH","TRAIN2","MOTORIST","VIEW","VEHDMG","DRIVER","INVEH","TOTKLD","TOTINJ","TOTOCC","INCDRPT","JOINTCD","TYPRR","DUMMY3","CASKLDRR","DUMMY4","CROSSING","NARRLEN","DUMMY5","YEAR4","DIVISION","PUBLIC","CNTYCD","STCNTY","HZMRLSED","HZMNAME","HZMQNTY","HZMMEAS","SIGWARNX","WHISBAN","DRIVAGE","DRIVGEN","PLEONTRN","SSB1","SSB2","USERKLD","USERINJ","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","NARR1","NARR2","NARR3","NARR4","NARR5","SUBDIV","ROADCOND","VIDEOT",VIDEOU
"","20","01","SCTR","I01082020 ","","","    ","          ","20","01","SCTR","I01082020 ","","1","351030K","20","01","08","8","50","AM","DICKSON             ","DICKSON             ","47","3","","DICKSON             ","HIGHWAY 47          ","30","A","2","3","2","001","1","4","46","2","1","7","1","EAST WYE TRACK      ","1","1","3","005","E","2","1","1","2","2","2","2","3","8","0","2","1","0","1","1","2","1","3 ","","0","  ","030407        ","499","","2020","                    ","Y","043","47C043","4","","",""," "," ","38","2","0003","                    ","                    ","0","1","0","0","0","0","LOCOMOTIVE WAS SHOVING THREE RAILCARS.  TWO EMPLOYEES RIDING THE LEAD CAR, ONE ON EACH SIDE.  AT 3 C","ARS FROM THE CROSSING THE CONDUCTOR RELAYED TO THE ENGINEER THERE WERE LIGHTS AND BELLS.  AT ONE CAR"," TO CROSSING THE HIGHWAY WAS STILL CLEAR. AT 1/2 CAR TO CROSSING AN SUV CAME AROUND THE CURVE.  COND","UCTOR RELAYED TO THE ENGINEER THE CAR WASN'T STOPPING AND ENGINEER PLACED THE LOCOMOTIVE IN EMERGENC","Y.  THE SUV WAS STRUCK IN THE PASSENGER REAR SIDE, TRAIN CAME TO A STOP 5-6 FEET IN TO THE CROSSING","SYSTEM              ","A","2","2",
"","20","02","WSOR","200210003 ","","","    ","          ","20","02","WSOR","200210003 ","","0","391715Y","20","02","10","12","51","PM","MADISON             ","DANE                ","55","4","","MADISON             ","E. LAKESIDE ST.     ","0","A","2","2","1","001","1","4","26","2","1","1","1","MAIN                ","2","1","3","018","E","3","1","2","1","2","2","2","4","8","2000","3","1","0","0","1","2","1","Cl","","0","  ","0105          ","480","","2020","                    ","Y","025","55C025","4","","",""," "," ","22","2","0002","                    ","                    ","0","0","0","0","0","0","ON FEBRUARY 10, 2020 AT APPROX. 1251 THE L469 REPORTED A VEHICLE COLLISION AT E. LAKESIDE ST. MP 137",".89 ON THE MADISON SUBDIVISION. ENGINEER W. TISLER (27.75 YEARS) AND CONDUCTOR K. HITTESDORF (9.8 YE","ARS) WERE TRAVELING WESTBOUND RUNNING LONG HOOD WITH THE WAMX 4223 WHEN THEY STRUCK THE MOTOR VEHICL","E. THE DRIVER STOPPED ON THE TRACKS AND ATTEMPTED TO BACKUP AS THE TRAIN ENTERED THE CROSSING EQUIPP","ED WITH LIGHTS AND GATES. NO INJURIES HAVE BEEN REPORTED, NO HAZMAT IS INVOLVED.","MADISON             ","A","2","2",
"","20","04","WSOR","200424001 ","","","    ","          ","20","04","WSOR","200424001 ","","0","387929J","20","04","24","9","26","AM","ZENDA               ","WALWORTH            ","55","4","","ZENDA               ","LINN-WALWORTH ROAD  ","2","A","1","3","6","001","1","4","40","2","1","8","1","MAIN                ","3","1","0","034","R","3"," ","1","2","2","2","2","2","8","15000","3","1","0","0","1","2","1","Cl","","0","  ","0807          ","472","","2020","                    ","Y","127","55C127","4","","",""," "," ","81","2","0002","                    ","                    ","0","0","0","0","0","0","WSOR CROSSING INCIDENT (LINN RD, ZENDA): ON APRIL 24, 2020 AT 0926 THE T-004X REPORTED A TRAIN VS VE","HICLE ACCIDENT AT LINN RD - WALWORTH TOWN LINE RD IN ZENDA (WALWORTH COUNTY) AT MP 70.27 (DOT 387929","J).  WHILE TRAVELING EASTBOUND WITH A SINGLE LOCOMOTIVE (HLCX 6334) THE CREW STRUCK A VEHICLE ON THE"," MAINLINE. THE LOCOMOTIVE SUFFERED DAMAGE TO THE CONDUCTOR SIDE REAR STEPS AND PLOW ALONG WITH MAJOR"," DAMAGE TO THE FRONT END OF THE VEHICLE. NO INJURIES OR HAZMAT INVOLVED.","FOX LAKE            ","A","2","2",
"K","20","06","ATK ","164682    ","","","    ","          ","20","06","CP  ","1001265719","","1","390502K","20","06","24","3","45","PM","MILWAUKEE           ","MILWAUKEE           ","55","4","","WAUWATOSA           ","70TH ST @ STATE     ","5","M","1","3","1","001","1","4","75","2","1","2","1","MAIN 1              ","4","2","9","035","E","3","1","1","1","1","2","1","1","3","75","1","1","0","1","1","2","1","No","","0","  ","0103060807    ","266","","2020","                    ","Y","079","55C079","4","","",""," "," ","13","1","0091","                    ","                    ","0","1","0","0","0","0","CAMERA-EQUIPPED TRAIN 8 WITH LOCOMOTIVES E/81-E/11 AND 9 CARS, STRUCK A TEENAGE PEDESTRIAN RIDING A ","BICYCLE ACROSS THE TRACKS AT MP 90.18, 70TH STREET CROSSING.  THE TEENAGE PEDESTRIAN FAILED TO SEE T","HE EASTBOUND TRAIN AS THE WESTBOUND TRAIN EXITED THE INTERSECTION.","","","WATERTOWN           ","A","1","2",
"","20","12","WC  ","1057302   ","","","    ","          ","20","12","WC  ","1057302   ","","0","392754T","20","12","22","2","25","AM","JUNCTION CITY       ","PORTAGE             ","55","4","","JUNCTION CITY       ","MAIN ST/MORGAN AVE  ","0","E","4","2","1","001","1","4","30","4","2","1","1","MAIN                ","3","6","142","017","E","1","1","1","3","1","2","2","4","8","2500","3","2","0","0","0","2","1","6 ","","0","  ","01020607      ","132","","2020","                    ","Y","097","55C097","4","","",""," "," ","  ","1","0002","                    ","                    ","0","0","0","0","0","0","ASSIGNMENT C70581-21 STRUCK AN ABANDONED VEHICLE ON THE TRACKS. NO INJURIES, DG LEAKS OR EXPOSURES O","CCURRED BECAUSE OF THE INCIDENT.","","","","VALLEY              ","A","1","1",
"","20","12","WC  ","1057755   ","","","    ","          ","20","12","WSOR","XXX       ","","1","386979J","20","12","30","8","15","AM","GRANVILLE           ","MILWAUKEE           ","55","4","","MILWAUKEE           ","124TH STREET        ","7","B","2","3","1","001","1","4","25","2","2","1","1","MAIN                ","3","1","5","035","R","3","1","1","2","2","1","2","3","8","25000","2","1","0","1","1","2","1","6 ","","0","  ","0307          ","50","","2020","                    ","Y","079","55C079","4","","",""," "," ","62","1","0002","                    ","                    ","0","1","0","0","0","0","TRAIN STRUCK A COMMERCIAL VEHICLE AT THE CROSSING.","","","","","WAUKESHA            ","B","2","2",
"","20","04","WC  ","1032407   ","","","    ","          ","20","04","WC  ","1032407   ","","0","692318H","20","04","16","10","55","AM","LOMIRA              ","DODGE               ","55","4","","LOMIRA              ","HH-CTH              ","5","D","4","3","1","084","2","2","40","2","1","1","1","SINGLE MAIN TRACK   ","4","2","88","029","E","2","1","1","2","2","2","2","7","8","","3","1","0","0","1","2","1","6 ","","0","  ","0107          ","197","","2020","                    ","Y","027","55C027","4","","",""," "," ","69","1","0002","                    ","                    ","0","0","0","0","0","0","TRUCK STRUCK THE SIDE OF A49081-15 HANDLING (CN3002, CN3078, 60 LOADS, 28 EMPTIES) AT THE CROSSING. ","CROSSING IS PROTECTED WITH GATES AND CROSSBUCKS. AMOUNT OF DAMAGE TO DRIVER'S VEHICLE IS UNKNOWN.","","","","WAUKESHA            ","A","2","2",
"","20","04","WC  ","1031318   ","","","    ","          ","20","04","WC  ","1031318   ","","1","692548J","20","04","03","10","25","AM","STEVENS POINT       ","PORTAGE             ","55","4","","STEVENS POINT       ","WATER ST            ","5","M","2","3","1","001","1","4","43","2","1","1","1","SINGLE MAIN TRACK   ","4","5","141","017","R","1","1","1","2","2","2","2","1","8","","2","1","0","1","1","2","1","6 ","","0","  ","01030607      ","194","","2020","                    ","Y","097","55C097","4","","",""," "," ","67","1","0002","                    ","                    ","0","1","0","0","0","0","B78991-01, HANDLING CN3210, CN REPORTS A BYCYCLIST WENT AROUND THE GATES AND STRUCK THE SIDE OF THE ","ENGINE. CROSSING IS PROTECTED WITH FLASHERS AND GATES. INDIVIDUAL WAS TRANSPORTED TO HOSPITAL.","","","","SUPERIOR            ","A","1","1",
"","20","09","WSOR","200917002 ","","","    ","          ","20","09","WSOR","200917002 ","","0","392181M","20","09","17","6","0","PM","MARSHALL            ","DANE                ","55","4","","MARSHALL            ","CHERRY LANE         ","25","A","1","3","1","001","1","4","70","3","1","1","1","MAINLINE            ","2","1","20","022","E","4"," ","1","2","3","2","1","2","8","0","3","1","0","0","1","2","1","Cl","","0","  ","07            ","439","","2020","                    ","Y","025","55C025","4","","",""," "," ","35","2","0002","                    ","                    ","0","0","0","0","0","0","WSOR CROSSING INCIDENT (CHERRY LANE IN MARSHALL, WI DOT 39218M): ON SEPTEMBER 17, 2020, AT APPROXIMA","TELY 18:00 THE L464 CREW WERE TRAVELING WEST BOUND ON THE WSOR WATERTOWN SUB USING THE WAMX 4180 WHE","N A VEHICLE FAILED TO YIELD HEADING NORTH ON CHERRY LANE IN MARSHALL, WISCONSIN. THE DRIVER ATTEMPTE","D TO SWERVE BUT THE L464 STRUCK THE VEHICLE WITH THE LONG HOOD END OF THE WAMX 4180 HOLDING ONTO 20 ","X 0. NO INJURIES TO THE DRIVER OR CREW.","WATERTOWN           ","A","2","2",
"","20","05","WC  ","1034757   ","","","    ","          ","20","05","WC  ","1034757   ","","0","690119Y","20","05","10","8","30","PM","FOND DU LAC         ","FOND DU LAC         ","55","4","","FOND DU LAC         ","ARNDT ST            ","0","A","4","1","1","001","1","4","43","4","1","1","1","SINGLE MAIN TRACK   ","4","3","146","015","E","1","1","1","2","2","2","2","5","8","","3","2","0","0","0","2","1","6 ","","0","  ","0107          ","382","","2020","                    ","Y","039","55C039","4","","",""," "," ","  ","1","0002","                    ","                    ","0","0","0","0","0","0","TRAIN X34241-09 STRUCK A STALLED VEHICLE ON THE TRACKS. PRIOR TO THE TRAIN APPROACHING, THE DRIVER E","XITED THE VEHICLE AND ATTEMPTED TO PUSH THE VEHICLE OFF THE TRACKS. THE TRAIN APPROACHED AND THE GAT","ES CAME DOWN ON TOP OF THE VEHICLE. THE DRIVER RAN TO SAFETY BEFORE THE TRAIN STRUCK THE FRONT END O","F THE VEHICLE. DRIVER'S AGE IS UNKNOWN AS WELL AS THE AMOUNT OF DAMAGE TO VEHICLE.","","WAUKESHA            ","A","2","2",
