"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","CASINJRR","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","STATION","COUNTY","STATE","REGION","DUMMY2","CITY","HIGHWAY","VEHSPD","TYPVEH","VEHDIR","POSITION","RREQUIP","RRCAR","TYPACC","HAZARD","TEMP","VISIBLTY","WEATHER","TYPEQ","TYPTRK","TRKNAME","TRKCLAS","NBRLOCOS","NBRCARS","TRNSPD","TYPSPD","TRNDIR","SIGNAL","LOCWARN","WARNSIG","LIGHTS","STANDVEH","TRAIN2","MOTORIST","VIEW","VEHDMG","DRIVER","INVEH","TOTKLD","TOTINJ","TOTOCC","INCDRPT","JOINTCD","TYPRR","DUMMY3","CASKLDRR","DUMMY4","CROSSING","NARRLEN","DUMMY5","YEAR4","DIVISION","PUBLIC","CNTYCD","STCNTY","HZMRLSED","HZMNAME","HZMQNTY","HZMMEAS","SIGWARNX","WHISBAN","DRIVAGE","DRIVGEN","PLEONTRN","SSB1","SSB2","USERKLD","USERINJ","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","NARR1","NARR2","NARR3","NARR4","NARR5","SUBDIV","ROADCOND","VIDEOT",VIDEOU
"","16","06","UP  ","0616RS001 ","","","    ","          ","16","06","UP  ","0616RS001 ","","0","753404A","16","06","01","11","45","AM","CHICO               ","BUTTE               ","06","7","","CHICO               ","WEST SACRAMENTO     ","","K","4","3","1","001","1","4","90","2","1","1","1","MAIN TRACK          ","4","3","12","050","E","2","1","1"," ","1"," ","2","1","8",""," "," ","1","0","0","2","1","1 ","","1","  ","01030607      ","99","","2016","                    ","Y","007","06C007","4","","",""," "," ","53","1","0003","                    ","                    ","1","0","0","0","0","0","PEDESTRIAN WEARING HEADPHONES WALKED AROUND AN ACTIVATED CROSSING GATE AND WAS STRUCK BY THE TRAIN.","","","","","VALLEY SUB          ","A","1","2",
"","16","06","UP  ","0616LA020 ","","","    ","          ","16","06","XNND","XXX       ","","0","450437Y","16","06","21","1","30","PM","ONTARIO             ","SAN BERNARDINO      ","06","7","","ONTARIO             ","PRIVATE INDUSTRY    ","0","C","2","2","B","001","1","4","99","2","1","7","4","NEW INDY ONTARIO LLC","1","2","4","001","E","4"," ","2"," ","2","2","2","4","8","3000","3","1","0","0","1","2","1","1 ","","0","  ","10            ","0","","2016","                    ","N","071","06C071","4","","",""," "," ","50","1","0002","                    ","                    ","0","0","0","0","0","0","","","","","","LOS ANGELES SUB     ","A","2","2",
"","16","12","PCMZ","20161227A ","","","    ","          ","16","12","PCMZ","20161227A ","","0","754891C","16","12","27","2","28","PM","BURLINGAME          ","SAN MATEO           ","06","7","","BURLINGAME          ","HOWARD AVENUE       ","0","K","4","2","2","001","1","4","55","2","1","C","1","MT-1                ","4","1","5","054","R","1","1","1","2","1"," ","2","8","8","0"," "," ","1","0","0","2","1","6 ","","0","  ","01030607      ","455","","2016","                    ","Y","081","06C081","4","","",""," "," ","  ","1","0200","                    ","                    ","1","0","0","0","0","0","CALTRAIN 151 WAS NORTHBOUND OPERATING ON MT1 FROM THE SAN MATEO STATION TO THE BURLINGAME STATION. A","S THE TRAIN APPROACHED THE HOWARD AVENUE GRADE CROSSING AN UNIDENTIFIED MALE PEDESTRIAN STEPPED OUT ","INTO THE PATH OF THE TRAIN AND THEN RAN SOUTH DIRECTLY AT THE TRAIN JUST BEFORE IT GOT TO THE CROSSI","NG.  THE ENGINEER SOUNDED HIS HORN, PLACED THE TRAIN IN EMERGENCY AND STRUCK THE TRESPASSER, FATALLY"," INJURING HIM.  THE AGE OF THE HIGHWAY USER IS UNKNOWN.","CALTRAIN            ","A","1","2",
"","16","12","PCMZ","20161218A ","","","    ","          ","16","12","PCMZ","20161218A ","","0","754942K","16","12","18","9","10","PM","REDWOOD CITY        ","SAN MATEO           ","06","7","","REDWOOD CITY        ","CHESTNUT STREET     ","0","K","3","2","1","001","1","4","57","4","1","3","1","MT-2                ","4","1","5","050","E","2","1","1","2","1"," ","2","8","8","0"," "," ","1","0","0","2","1","6 ","","0","  ","01030607      ","405","","2016","                    ","Y","081","06C081","4","","",""," "," ","  ","1","0260","                    ","                    ","1","0","0","0","0","0","CALTRAIN 446 WAS SOUTHBOUND OPERATING ON MT2 FROM THE REDWOOD CITY STATION TO THE ATHERTON STATION, ","WHEN AS THE TRAIN APPROACHED THE CHESTNUT STREET CROSSING A UNIDENTIFIED MALE PEDESTRIAN STEPPED OUT"," INTO THE PATH OF THE TRAIN JUST AS IT GOT TO THE CROSSING.  THE ENGINEER SOUNDED HIS HORN, PLACED T","HE TRAIN IN EMERGENCY AND STRUCK THE TRESPASSER, FATALLY INJURING HIM. THE HIGHWAY USER'S AGE IS UNK","NOWN.","CALTRAIN            ","A","2","2",
"","16","06","UP  ","0616RS009 ","","","    ","          ","16","06","UP  ","0616RS009 ","","0","752868B","16","06","13","11","18","AM","EAST MODESTO        ","STANISLAUS          ","06","7","","MODESTO             ","B STREET            ","3","M","3","3","1","001","1","4","90","2","1","1","1","MAIN TRACK          ","3","2","20","039","E","2","1","1","1","1","3","2","1","8","150","1","1","1","0","1","2","1","1 ","","1","  ","01030607      ","70","","2016","                    ","Y","099","06C099","4","","",""," "," ","33","1","0003","                    ","                    ","1","0","0","0","0","0","BICYCLIST WENT AROUND THE ACTIVATED GATES AND WAS STRUCK BY THE TRAIN.","","","","","FRESNO SUB          ","A","1","2",
"","16","06","SCRT","06172016  ","","","    ","          ","16","06","SCRT","06172016  ","","0","753524R","16","06","17","7","44","AM","BUTTERFIELD         ","SACRAMENTO          ","06","7","","RANCHO CORDOVA      ","BRADSHAW ROAD       ","20","D","2","3","D","001","1","4","70","1","1","D","1","GOLD LINE           ","3","0","4","050","E","3","1","2","1","2","2","2","7","8","3500","3","1","0","0","1","1","1","3 ","","0","  ","01030506      ","406","","2016","                    ","Y","067","06C067","4","","",""," "," ","29","1","0041","                    ","                    ","0","0","0","0","0","0","BASED ON THE CROSSING VIDEO, THE TRUCK WAS STOPPED WITH THE CROSSING GATE ACROSS THE TRUCK BED.  AS ","THE TRAIN APPROACHED, THE TRUCK ACCELLERATED QUICKLY INTO THE PATH OF THE TRAIN.  ALL THE CROSSING E","QUIPMENT WAS FUNCTIONING AS INTENDED ACCORDING TO THE VIDEO.  THE DRIVER OF THE TRUCK STATED THAT HE"," THOUGHT THE TRAIN WAS ON THE TRACK CLOSEST TO HIM AND HE WAS TRYING TO MOVE OUT OF THE PATH OF THE ","TRAIN.","LIGHT RAIL          ","A","1","1",
"","16","06","SCRT","06282016  ","","","    ","          ","16","06","SCRT","06282016  ","","1","833781K","16","06","28","6","22","AM","BROADWAY            ","SACRAMENTO          ","06","7","","SACRAMENTO          ","W STREET            ","15","M","3","3","D","001","1","4","78","1","1","D","1","BLUE LINE           ","3","0","4","030","E","1","1","3","2","2","2","2","1","8","100","2","1","0","1","1","2","1","3 ","","0","  ","010306        ","460","","2016","                    ","Y","067","06C067","4","","",""," "," ","19","1","0100","                    ","                    ","0","1","0","0","0","0","BICYCLIST WAS TRAVELING EAST ON A WESTBOUND ONE-WAY STREET, CROSSED THE OUTBOUND TRACKS INTO THE PAT","H OF THE INBOUND TRAIN.  THE VIDEO CONFIRMS THE GATES WERE DOWN, CROSSING LIGHTS WERE FLASHING AND A","UDIBLE WAS SOUNDING.  THE INBOUND TRAIN APPROACHED THE INTERSECTION AND COULD NOT ANTICIPATE THE CYC","LIST TRAVELING THE WRONG WAY AGAINST NORMAL TRAFFIC, AGAINST THE CROSSING GATES AND WARNING SIGNALS.","  THE TRAIN OPERATOR COULD NOT STOP IN TIME PRIOR TO IMPACT.","LIGHT RAIL          ","A","1","1",
"","16","03","CFNR","CFN933516G","","","    ","          ","16","03","CFNR","CFN933516G","","0","969802E","16","03","30","12","40","PM","VOLTA               ","MERCED              ","06","7","","LOS BANOS           ","PRIVATE             ","5","C","1","3","2","001","1","4","67","2","1","1","4","LIBERTY LEAD        ","1","1","17","003","R","2"," ","1","2","2","2","2","3","8","1500","3","1","0","0","1","2","1","3 ","","0","  ","0810          ","221","","2016","                    ","N","047","06C047","4","","",""," "," ","43","1","0002","                    ","                    ","0","0","0","0","0","0","A TRAIN CREW WAS SHOVING TO SPOT AN INDUSTRY. A DRIVER OF A TRUCK TRAILER FAILED TO STOP AT THE CROS","SING. THE ENGINEER PLACED THE TRAIN IN EMERGENCY AND STRUCK THE TRUCK'S TRAILER. NO INJURIES TO THE ","DRIVER OR TRAIN CREW.","","","TRACY               ","A","2","2",
"","16","12","BNSF","CA1216203 ","","","    ","          ","16","12","BNSF","CA1216203 ","","0","029857X","16","12","13","1","26","AM","RICHMOND            ","CONTRA COSTA        ","06","7","","RICHMOND            ","CHESLEY AVE         ","0","A","1","2","1","001","1","4","56","4","1","1","1","SINGLE MAIN         ","4","3","72","023","R","4","1","1"," ","1","2","2","5","8","1500","3","2","0","0","0","2","1","1 ","","0","  ","0103          ","41","","2016","                    ","Y","013","06C013","4","","",""," "," ","  ","1","0002","                    ","                    ","0","0","0","0","0","0","DRIVER AGE UNKNOWN. 41:UNOCCUPIED VEHICLE","","","","","STOCKTON            ","A","1","2",
"","16","12","BNSF","CA1216204 ","","","    ","          ","16","12","BNSF","CA1216204 ","","0","027656A","16","12","22","6","26","PM","SANTA FE SPRINGS    ","LOS ANGELES         ","06","7","","                    ","ROSECRANS/MARQUAR   ","0","A","2","2","1","001","1","2","55","3","2","1","1","MAIN 1 TRACK        ","4","4","85","040","E","4","1","1","1","1","2","2","5","8","2000","3","2","0","0","0","2","1","1 ","","0","  ","0103          ","43","","2016","                    ","Y","037","06C037","4","","",""," "," ","  ","1","0002","                    ","                    ","0","0","0","0","0","0","DRIVER AGE UNKNOWN.  41: UNOCCUPIED VEHICLE","","","","","SAN BERNARDINO      ","A","1","2",
